715 Broadway Departure ,14th St at Irving Place (EB) ,14th St at 3rd Ave. ,1st Ave. at 17th St. ,1st Ave. at 24th St. ,1st Ave. at 26th St. ,NYU Langone Health ,Lexington Ave. at 31st St. ,Gramercy Green ,3rd Ave. at 17th St. ,14th St at Irving Place (WB) ,715 Broadway Arrival
5:10 PM                ,5:15 PM                      ,5:17 PM             ,5:21 PM              ,5:24 PM              ,5:25 PM              ,5:30 PM            ,5:35 PM                    ,5:40 PM        ,5:42 PM              ,5:44 PM                      ,5:49 PM
5:40 PM                ,5:45 PM                      ,5:47 PM             ,5:51 PM              ,5:54 PM              ,5:55 PM              ,6:00 PM            ,6:05 PM                    ,6:10 PM        ,6:12 PM              ,6:14 PM                      ,6:19 PM
6:20 PM                ,6:25 PM                      ,6:27 PM             ,6:31 PM              ,6:34 PM              ,6:35 PM              ,6:40 PM            ,6:45 PM                    ,6:50 PM        ,6:52 PM              ,6:54 PM                      ,6:59 PM
6:50 PM                ,6:55 PM                      ,6:57 PM             ,7:01 PM              ,7:04 PM              ,7:05 PM              ,7:10 PM            ,7:15 PM                    ,7:20 PM        ,7:22 PM              ,7:24 PM                      ,7:29 PM
7:20 PM                ,7:25 PM                      ,7:27 PM             ,7:31 PM              ,7:34 PM              ,7:35 PM              ,7:40 PM            ,7:45 PM                    ,7:50 PM        ,7:52 PM              ,7:54 PM                      ,7:59 PM
7:50 AM                ,7:55 AM                      ,7:57 AM             ,8:01 AM              ,8:04 AM              ,8:05 AM              ,8:10 AM            ,8:15 AM                    ,8:20 AM        ,8:22 AM              ,8:24 AM                      ,8:29 AM
8:40 PM                ,8:45 PM                      ,8:47 PM             ,8:51 PM              ,8:54 PM              ,8:55 PM              ,9:00 PM            ,9:05 PM                    ,9:10 PM        ,9:12 PM              ,9:14 PM                      ,9:19 PM
9:30 PM                ,9:35 PM                      ,9:37 PM             ,9:41 PM              ,9:44 PM              ,9:45 PM              ,9:50 PM            ,9:55 PM                    ,10:00 PM       ,10:02 PM             ,10:04 PM                     ,10:09 PM
10:25 PM               ,10:30 PM                     ,10:32 PM            ,10:36 PM             ,10:39 PM             ,10:40 PM             ,10:45 PM           ,10:50 PM                   ,10:55 PM       ,10:57 PM             ,10:59 PM                     ,11:04 PM
11:20 PM               ,11:25 PM                     ,11:27 PM            ,11:31 PM             ,11:34 PM             ,11:35 PM             ,11:40 PM           ,11:45 PM                   ,11:50 PM       ,                     ,                             ,
